,Latitude,Longitude,LocalTime,UTTime,LimitingMag,Country,Year
0,52.0135,0.238682,2016-01-01 00:59:08,2016-01-01 00:59:00,3,United Kingdom,2016
1,36.0194,-79.8517,2016-01-01 05:54:43,2016-01-01 10:54:00,5,United States - North Carolina,2016
2,3.14723,101.667,2016-01-01 22:21:50,2016-01-01 14:21:00,4,Malaysia,2016
3,38.0329,12.8768,2016-01-01 18:49:34,2016-01-01 17:49:00,5,Italy,2016
4,38.0301,12.8798,2016-01-01 18:48:49,2016-01-01 17:48:00,5,Italy,2016
5,38.9002,-77.2672,2016-01-01 18:59:12,2016-01-01 23:59:00,2,United States - Virginia,2016
6,38.8956,-77.279,2016-01-01 19:09:59,2016-01-02 00:09:00,4,United States - Virginia,2016
7,38.8957,-77.2775,2016-01-01 19:07:51,2016-01-02 00:07:00,2,United States - Virginia,2016
8,38.8991,-77.2646,2016-01-01 19:02:50,2016-01-02 00:02:00,3,United States - Virginia,2016
9,38.8775,-77.282,2016-01-01 19:16:28,2016-01-02 00:16:00,4,United States - Virginia,2016
10,38.8816,-77.2801,2016-01-01 19:14:11,2016-01-02 00:14:00,4,United States - Virginia,2016
11,38.8827,-77.2995,2016-01-01 19:23:57,2016-01-02 00:23:00,4,United States - Virginia,2016
12,38.8799,-77.2947,2016-01-01 19:20:13,2016-01-02 00:20:00,1,United States - Virginia,2016
13,38.9386,-77.3288,2016-01-01 19:37:08,2016-01-02 00:37:00,2,United States - Virginia,2016
14,38.9288,-77.3221,2016-01-01 19:32:59,2016-01-02 00:32:00,4,United States - Virginia,2016
15,38.9317,-77.3384,2016-01-01 19:44:24,2016-01-02 00:44:00,4,United States - Virginia,2016
16,38.9323,-77.3381,2016-01-01 19:42:43,2016-01-02 00:42:00,4,United States - Virginia,2016
17,38.9319,-77.3365,2016-01-01 19:41:52,2016-01-02 00:41:00,4,United States - Virginia,2016
18,40.5919,-75.0943,2016-01-01 20:16:33,2016-01-02 01:16:00,5,United States - New Jersey,2016
19,36.0598,-86.7554,2016-01-01 20:19:21,2016-01-02 02:19:00,4,United States - Tennessee,2016
20,36.0598,-86.7555,2016-01-01 20:29:54,2016-01-02 02:29:00,4,United States - Tennessee,2016
21,36.0598,-86.7556,2016-01-01 20:29:23,2016-01-02 02:29:00,4,United States - Tennessee,2016
22,36.0599,-86.7555,2016-01-01 20:28:42,2016-01-02 02:28:00,4,United States - Tennessee,2016
23,36.0599,-86.7555,2016-01-01 20:28:00,2016-01-02 02:28:00,4,United States - Tennessee,2016
24,36.06,-86.7552,2016-01-01 20:21:38,2016-01-02 02:21:00,4,United States - Tennessee,2016
25,36.0601,-86.7554,2016-01-01 20:20:54,2016-01-02 02:20:00,5,United States - Tennessee,2016
26,36.06,-86.7552,2016-01-01 20:20:05,2016-01-02 02:20:00,4,United States - Tennessee,2016
27,37.6245,-90.2689,2016-01-01 20:49:54,2016-01-02 02:49:00,4,United States - Missouri,2016
28,37.6246,-90.2689,2016-01-01 20:49:23,2016-01-02 02:49:00,4,United States - Missouri,2016
29,34.0656,-118.65,2016-01-01 18:44:42,2016-01-02 02:44:00,4,United States - California,2016
30,39.0723,-94.3636,2016-01-01 21:17:36,2016-01-02 03:17:00,5,United States - Missouri,2016
31,40.9678,-72.3879,2016-01-01 22:55:40,2016-01-02 03:55:00,5,United States - New York,2016
32,32.342,-110.967,2016-01-01 21:47:34,2016-01-02 04:47:00,5,United States - Arizona,2016
33,37.6245,-90.2689,2016-01-01 22:44:00,2016-01-02 04:44:00,5,United States - Missouri,2016
34,35.2562,-111.924,2016-01-01 22:55:47,2016-01-02 05:55:00,4,United States - Arizona,2016
35,35.2484,-111.968,2016-01-01 22:54:38,2016-01-02 05:54:00,4,United States - Arizona,2016
36,36.0192,-79.8532,2016-01-02 06:29:10,2016-01-02 11:29:00,6,United States - North Carolina,2016
37,39.9211,-80.7398,2016-01-02 10:28:26,2016-01-02 15:28:00,3,United States - West Virginia,2016
38,38.8239,-77.4181,2016-01-02 20:07:57,2016-01-03 01:07:00,4,United States - Virginia,2016
39,38.824,-77.4181,2016-01-02 20:07:29,2016-01-03 01:07:00,4,United States - Virginia,2016
40,38.8999,-77.2669,2016-01-02 20:49:06,2016-01-03 01:49:00,3,United States - Virginia,2016
42,38.8957,-77.2788,2016-01-02 20:57:17,2016-01-03 01:57:00,3,United States - Virginia,2016
43,38.8994,-77.2644,2016-01-02 20:55:25,2016-01-03 01:55:00,2,United States - Virginia,2016
44,38.8776,-77.2819,2016-01-02 21:08:08,2016-01-03 02:08:00,1,United States - Virginia,2016
45,38.8775,-77.2818,2016-01-02 21:03:20,2016-01-03 02:03:00,4,United States - Virginia,2016
46,38.8934,-77.276,2016-01-02 21:01:31,2016-01-03 02:01:00,4,United States - Virginia,2016
47,38.8937,-77.3056,2016-01-02 21:19:11,2016-01-03 02:19:00,4,United States - Virginia,2016
48,38.9221,-82.0052,2016-01-02 21:19:14,2016-01-03 02:19:00,5,United States - West Virginia,2016
49,38.9185,-82.0053,2016-01-02 21:17:20,2016-01-03 02:17:00,3,United States - West Virginia,2016
50,38.8827,-77.2996,2016-01-02 21:11:27,2016-01-03 02:11:00,4,United States - Virginia,2016
51,38.9327,-77.3388,2016-01-02 21:28:39,2016-01-03 02:28:00,4,United States - Virginia,2016
52,38.9384,-77.3302,2016-01-02 21:27:15,2016-01-03 02:27:00,4,United States - Virginia,2016
53,38.9286,-77.322,2016-01-02 21:23:20,2016-01-03 02:23:00,2,United States - Virginia,2016
54,38.824,-77.4182,2016-01-02 21:59:49,2016-01-03 02:59:00,4,United States - Virginia,2016
55,38.8391,-104.572,2016-01-02 20:06:51,2016-01-03 03:06:00,5,United States - Colorado,2016
56,39.0722,-94.3634,2016-01-02 22:06:32,2016-01-03 04:06:00,5,United States - Missouri,2016
57,33.8282,-84.6956,2016-01-02 23:16:37,2016-01-03 04:16:00,4,United States - Georgia,2016
58,53.3327,-110.08,2016-01-02 21:37:56,2016-01-03 04:37:00,6,Canada,2016
