,Latitude,Longitude,LocalTime,UTTime,LimitingMag,Country,Year
0,40.2093,-77.2204,2008-02-23 19:35:00,2008-02-24 00:35:00,4,United States - Pennsylvania,2008
2,40.252,-111.662,2008-02-23 19:45:00,2008-02-24 02:45:00,4,United States - Utah,2008
3,42.9883,-89.5371,2008-02-23 20:00:00,2008-02-24 02:00:00,5,United States - Wisconsin,2008
4,45.7031,16.1138,2008-02-23 20:00:00,2008-02-23 19:00:00,5,Croatia,2008
5,43.6075,10.7003,2008-02-23 20:00:00,2008-02-23 19:00:00,3,Italy,2008
6,37.4317,-81.5729,2008-02-23 20:00:00,2008-02-24 01:00:00,2,United States - West Virginia,2008
7,35.25,-93.05,2008-02-23 20:00:00,2008-02-24 02:00:00,4,United States - Arkansas,2008
8,58.3625,25.5805,2008-02-23 20:00:00,2008-02-23 18:00:00,4,Estonia,2008
9,42.1792,-85.7508,2008-02-23 21:00:00,2008-02-24 02:00:00,5,United States - Michigan,2008
10,40.3477,-77.5567,2008-02-23 21:00:00,2008-02-24 02:00:00,7,United States - Pennsylvania,2008
11,40.0118,-0.05488,2008-02-23 21:00:00,2008-02-23 20:00:00,4,Spain,2008
12,39.8085,18.3334,2008-02-23 21:00:00,2008-02-23 20:00:00,5,Italy,2008
13,45.5565,-73.6838,2008-02-23 21:00:00,2008-02-24 02:00:00,3,Canada,2008
14,41.4769,12.8967,2008-02-23 21:00:00,2008-02-23 20:00:00,2,Italy,2008
15,37.8176,127.231,2008-02-23 21:00:00,2008-02-23 12:00:00,2,South Korea,2008
16,40.8957,-83.919,2008-02-23 21:00:00,2008-02-24 02:00:00,5,United States - Ohio,2008
21,58.3639,26.6661,2008-02-23 21:28:00,2008-02-23 19:28:00,4,Estonia,2008
27,35.96,-78.7061,2008-02-23 21:45:00,2008-02-24 02:45:00,5,United States - North Carolina,2008
28,30.0981,-95.509,2008-02-23 22:00:00,2008-02-24 04:00:00,4,United States - Texas,2008
29,45.36,-75.77,2008-02-23 22:00:00,2008-02-24 03:00:00,4,Canada,2008
30,47.2112,-121.99,2008-02-23 22:00:00,2008-02-24 06:00:00,3,United States - Washington,2008
31,41.4327,-79.7046,2008-02-23 22:00:00,2008-02-24 03:00:00,4,United States - Pennsylvania,2008
32,-29.9154,-71.2434,2008-02-23 22:10:00,2008-02-24 01:10:00,4,Chile,2008
33,49.2007,16.5369,2008-02-23 22:27:00,2008-02-23 21:27:00,4,Czech Republic,2008
