,Latitude,Longitude,LocalTime,UTTime,LimitingMag,Country,Year
0,36.1756,137.986,2019-01-01 00:12:00,2018-12-31 15:12:00,3,Japan,2019
1,35.8845,139.611,2019-01-01 00:19:00,2018-12-31 15:19:00,2,Japan,2019
2,35.5298,139.702,2019-01-01 17:10:00,2019-01-01 08:10:00,1,Japan,2019
3,35.587,139.63,2019-01-01 17:13:00,2019-01-01 08:13:00,1,Japan,2019
4,35.2228,140.302,2019-12-30 21:46:00,2019-12-30 12:46:00,5,Japan,2019
6,35.7546,139.468,2019-01-01 19:34:00,2019-01-01 10:34:00,2,Japan,2019
7,35.8268,139.735,2019-01-01 20:17:00,2019-01-01 11:17:00,2,Japan,2019
8,35.7212,139.747,2019-01-01 20:25:00,2019-01-01 11:25:00,1,Japan,2019
9,35.8654,139.629,2019-01-01 20:37:00,2019-01-01 11:37:00,3,Japan,2019
10,36.3877,139.065,2019-01-01 20:40:00,2019-01-01 11:40:00,1,Japan,2019
13,35.8056,139.766,2019-01-01 21:09:00,2019-01-01 12:09:00,2,Japan,2019
14,35.6419,139.277,2019-01-01 21:13:00,2019-01-01 12:13:00,2,Japan,2019
15,39.7005,140.725,2019-01-01 21:13:00,2019-01-01 12:13:00,2,Japan,2019
16,37.7795,140.489,2019-01-01 21:20:00,2019-01-01 12:20:00,3,Japan,2019
17,35.8137,139.578,2019-01-01 21:15:00,2019-01-01 12:15:00,2,Japan,2019
18,35.5794,139.419,2019-01-01 21:50:00,2019-01-01 12:50:00,2,Japan,2019
19,35.8709,140.021,2019-01-01 21:59:00,2019-01-01 12:59:00,3,Japan,2019
20,35.7592,139.548,2019-01-01 22:23:00,2019-01-01 13:23:00,2,Japan,2019
21,35.7711,139.907,2019-01-01 22:35:00,2019-01-01 13:35:00,3,Japan,2019
22,35.804,139.763,2019-01-01 23:06:00,2019-01-01 14:06:00,2,Japan,2019
23,35.5452,140.231,2019-01-01 23:29:00,2019-01-01 14:29:00,3,Japan,2019
24,35.7286,139.477,2019-01-01 23:45:00,2019-01-01 14:45:00,3,Japan,2019
25,35.7356,139.652,2019-01-01 21:45:00,2019-01-01 12:45:00,2,Japan,2019
26,35.686,139.728,2019-01-02 01:11:00,2019-01-01 16:11:00,2,Japan,2019
27,35.7118,139.92,2019-01-02 02:37:00,2019-01-01 17:37:00,3,Japan,2019
