,Latitude,Longitude,LocalTime,UTTime,LimitingMag,Country,Year
0,23.2052,85.9164,2014-01-20 22:15:00,2014-01-20 16:45:00,3,India,2014
1,36.5205,22.9825,2014-01-20 23:00:00,2014-01-20 21:00:00,5,Greece,2014
2,53.8817,14.5452,2014-09-15 23:24:00,2014-09-15 21:24:00,6,Poland,2014
3,48.9169,17.09,2014-01-21 19:55:00,2014-01-21 18:55:00,5,Czech Republic,2014
4,30.4717,-90.9687,2014-01-20 20:20:00,2014-01-21 02:20:00,4,United States - Louisiana,2014
5,30.4729,-90.9699,2014-01-20 18:41:00,2014-01-21 00:41:00,3,United States - Louisiana,2014
6,32.2334,-110.947,2014-01-25 19:19:00,2014-01-26 02:19:00,6,United States - Arizona,2014
7,37.9498,-122.533,2014-12-15 21:30:00,2014-12-16 05:30:00,5,United States - California,2014
8,23.1292,113.264,2014-01-20 21:06:00,2014-01-20 13:06:00,2,China,2014
9,36.9073,-76.1498,2014-01-21 21:22:00,2014-01-22 02:22:00,3,United States - Virginia,2014
10,53.4573,-2.34009,2014-01-20 23:59:00,2014-01-20 23:59:00,3,United Kingdom,2014
11,35.7374,139.978,2014-01-20 19:28:00,2014-01-20 10:28:00,2,Japan,2014
12,35.4437,139.638,2014-01-20 00:00:00,2014-01-19 15:00:00,4,Japan,2014
13,34.75,137.727,2014-01-20 21:24:00,2014-01-20 12:24:00,3,Japan,2014
14,35.4527,139.567,2014-01-20 22:13:00,2014-01-20 13:13:00,3,Japan,2014
15,41.9304,25.5484,2014-01-20 20:30:00,2014-01-20 18:30:00,3,Bulgaria,2014
16,12.9552,77.7228,2014-01-20 20:41:00,2014-01-20 15:11:00,3,India,2014
17,23.2052,85.9164,2014-01-20 21:40:00,2014-01-20 16:10:00,6,India,2014
18,41.9242,25.5647,2014-01-20 18:29:00,2014-01-20 16:29:00,1,Bulgaria,2014
19,41.9283,25.5431,2014-01-20 19:07:00,2014-01-20 17:07:00,5,Bulgaria,2014
20,41.9401,25.5419,2014-01-20 19:21:00,2014-01-20 17:21:00,4,Bulgaria,2014
21,41.9277,25.5445,2014-01-20 19:18:00,2014-01-20 17:18:00,3,Bulgaria,2014
22,58.9395,23.5631,2014-01-20 19:17:00,2014-01-20 17:17:00,4,Estonia,2014
23,41.1397,22.5096,2014-01-20 19:55:00,2014-01-20 18:55:00,3,Macedonia (FYROM),2014
27,39.0156,-8.47185,2014-01-20 19:17:00,2014-01-20 19:17:00,3,Portugal,2014
29,41.1442,22.5031,2014-01-20 20:31:00,2014-01-20 19:31:00,1,Macedonia (FYROM),2014
30,28.0641,-14.3581,2014-01-20 19:52:00,2014-01-20 19:52:00,2,Spain,2014
31,41.9321,25.5393,2014-01-20 22:04:00,2014-01-20 20:04:00,3,Bulgaria,2014
33,41.1489,22.4939,2014-01-20 21:11:00,2014-01-20 20:11:00,1,Macedonia (FYROM),2014
34,52.2425,21.1022,2014-01-20 21:20:00,2014-01-20 20:20:00,1,Poland,2014
39,39.5797,-0.520056,2014-01-20 23:09:00,2014-01-20 22:09:00,4,Spain,2014
41,52.6097,-1.12393,2014-01-20 22:35:00,2014-01-20 22:35:00,3,United Kingdom,2014
44,-31.7662,-52.3605,2014-01-20 21:50:00,2014-01-20 23:50:00,4,Brazil,2014
45,18.4418,-66.9351,2014-01-20 20:07:00,2014-01-21 00:07:00,3,Puerto Rico,2014
46,28.6868,-81.5133,2014-01-20 19:13:00,2014-01-21 00:13:00,3,United States - Florida,2014
47,18.3692,-66.166,2014-01-20 21:32:00,2014-01-21 01:32:00,4,Puerto Rico,2014
48,34.911,-82.0501,2014-01-20 19:31:00,2014-01-21 00:31:00,4,United States - South Carolina,2014
49,35.4396,-77.4728,2014-01-20 19:44:00,2014-01-21 00:44:00,4,United States - North Carolina,2014
50,10.0725,-69.3008,2014-01-20 20:09:00,2014-01-21 00:39:00,3,Venezuela,2014
51,35.4517,-76.9757,2014-01-20 20:48:00,2014-01-21 01:48:00,4,United States - North Carolina,2014
52,18.4632,-66.9432,2014-01-20 21:48:00,2014-01-21 01:48:00,3,Puerto Rico,2014
53,-32.9518,-60.654,2014-01-20 22:49:00,2014-01-21 01:49:00,4,Argentina,2014
54,-31.743,-52.3414,2014-01-20 22:00:00,2014-01-21 00:00:00,2,Brazil,2014
55,35.2294,-97.4782,2014-01-20 19:57:00,2014-01-21 01:57:00,2,United States - Oklahoma,2014
57,32.2364,-110.924,2014-01-20 19:27:00,2014-01-21 02:27:00,4,United States - Arizona,2014
58,32.2282,-110.805,2014-01-20 19:22:00,2014-01-21 02:22:00,3,United States - Arizona,2014
59,42.4785,-70.9315,2014-01-20 21:30:00,2014-01-21 02:30:00,3,United States - Massachusetts,2014
60,42.3418,-72.5884,2014-01-20 20:54:00,2014-01-21 01:54:00,4,United States - Massachusetts,2014
61,35.4724,-77.4415,2014-01-20 21:35:00,2014-01-21 02:35:00,3,United States - North Carolina,2014
62,35.3402,-97.5169,2014-01-20 20:36:00,2014-01-21 02:36:00,3,United States - Oklahoma,2014
63,33.6758,-84.2656,2014-01-20 21:33:00,2014-01-21 02:33:00,3,United States - Georgia,2014
64,16.6362,-61.875,2014-01-20 22:41:00,2014-01-20 22:41:00,5,,2014
65,32.5788,-96.9274,2014-01-20 20:47:00,2014-01-21 02:47:00,3,United States - Texas,2014
66,51.6145,-3.15534,2014-01-21 22:00:00,2014-01-21 22:00:00,3,United Kingdom,2014
67,18.425,-66.922,2014-01-20 22:54:00,2014-01-21 02:54:00,5,Puerto Rico,2014
68,31.564,-110.301,2014-01-20 19:58:00,2014-01-21 02:58:00,3,United States - Arizona,2014
69,32.2362,-110.924,2014-01-20 19:58:00,2014-01-21 02:58:00,3,United States - Arizona,2014
70,33.7951,-116.462,2014-01-20 18:49:00,2014-01-21 02:49:00,3,United States - California,2014
71,32.2355,-110.924,2014-01-20 20:06:00,2014-01-21 03:06:00,3,United States - Arizona,2014
73,32.2355,-110.924,2014-01-20 20:09:00,2014-01-21 03:09:00,2,United States - Arizona,2014
74,32.2337,-110.932,2014-01-20 20:07:00,2014-01-21 03:07:00,2,United States - Arizona,2014
75,32.2356,-110.919,2014-01-20 19:58:00,2014-01-21 02:58:00,3,United States - Arizona,2014
76,32.2351,-110.928,2014-01-20 20:12:00,2014-01-21 03:12:00,3,United States - Arizona,2014
77,33.7536,-84.0398,2014-01-20 22:14:00,2014-01-21 03:14:00,4,United States - Georgia,2014
78,29.4635,-98.5254,2014-01-20 21:09:00,2014-01-21 03:09:00,3,United States - Texas,2014
79,32.2666,-110.89,2014-01-20 20:30:00,2014-01-21 03:30:00,4,United States - Arizona,2014
80,32.2086,-110.902,2014-01-20 20:37:00,2014-01-21 03:37:00,3,United States - Arizona,2014
81,35.5452,-97.3012,2014-01-20 21:07:00,2014-01-21 03:07:00,5,United States - Oklahoma,2014
82,18.2947,-66.8771,2014-01-20 23:34:00,2014-01-21 03:34:00,5,Puerto Rico,2014
83,35.5473,-97.3084,2014-01-20 21:02:00,2014-01-21 03:02:00,5,United States - Oklahoma,2014
84,35.559,-97.3001,2014-01-20 20:57:00,2014-01-21 02:57:00,5,United States - Oklahoma,2014
85,32.2326,-111.025,2014-01-20 20:51:00,2014-01-21 03:51:00,5,United States - Arizona,2014
86,35.5659,-97.3019,2014-01-20 20:55:00,2014-01-21 02:55:00,2,United States - Oklahoma,2014
87,35.5656,-97.286,2014-01-20 20:51:00,2014-01-21 02:51:00,3,United States - Oklahoma,2014
88,35.5655,-97.28,2014-01-20 20:50:00,2014-01-21 02:50:00,4,United States - Oklahoma,2014
89,35.5155,-97.2652,2014-01-20 20:42:00,2014-01-21 02:42:00,5,United States - Oklahoma,2014
90,35.4953,-97.2648,2014-01-20 20:38:00,2014-01-21 02:38:00,2,United States - Oklahoma,2014
91,35.4938,-97.2793,2014-01-20 20:30:00,2014-01-21 02:30:00,2,United States - Oklahoma,2014
92,32.2773,-110.957,2014-01-20 21:10:00,2014-01-21 04:10:00,4,United States - Arizona,2014
93,53.5563,-113.572,2014-01-20 21:17:00,2014-01-21 04:17:00,3,Canada,2014
94,35.4907,-97.323,2014-01-20 19:40:00,2014-01-21 01:40:00,3,United States - Oklahoma,2014
95,35.4282,-77.9329,2014-01-20 20:30:00,2014-01-21 01:30:00,3,United States - North Carolina,2014
96,40.6115,-105.077,2014-01-20 22:16:00,2014-01-21 05:16:00,3,United States - Colorado,2014
97,37.3646,-122.004,2014-01-20 22:00:00,2014-01-21 06:00:00,4,United States - California,2014
98,48.4954,-2.74235,2014-01-20 20:45:00,2014-01-20 19:45:00,4,France,2014
99,48.5129,-2.75654,2014-01-20 21:00:00,2014-01-20 20:00:00,3,France,2014
100,48.5057,-2.75894,2014-01-20 21:20:00,2014-01-20 20:20:00,3,France,2014
101,48.4881,-2.75169,2014-01-20 21:42:00,2014-01-20 20:42:00,3,France,2014
102,48.4803,-2.74843,2014-01-20 21:52:00,2014-01-20 20:52:00,5,France,2014
103,48.483,-2.73094,2014-01-20 22:00:00,2014-01-20 21:00:00,4,France,2014
104,48.4905,-2.72904,2014-01-20 22:20:00,2014-01-20 21:20:00,3,France,2014
106,49.2612,-123.114,2014-01-21 23:00:00,2014-01-22 07:00:00,4,Canada,2014
107,34.7336,135.25,2014-01-21 18:27:00,2014-01-21 09:27:00,2,Japan,2014
108,34.604,133.93,2014-01-21 19:44:00,2014-01-21 10:44:00,4,Japan,2014
109,34.6912,135.184,2014-01-21 19:30:00,2014-01-21 10:30:00,1,Japan,2014
110,43.3062,-8.51172,2014-01-20 21:10:00,2014-01-20 20:10:00,4,Spain,2014
111,23.0494,113.401,2014-01-21 19:53:00,2014-01-21 11:53:00,2,China,2014
112,41.9318,25.5392,2014-01-20 20:14:00,2014-01-20 18:14:00,4,Bulgaria,2014
113,42.2327,-8.68658,2014-01-20 23:00:00,2014-01-20 22:00:00,1,Spain,2014
114,33.5887,119.03,2014-01-21 21:06:00,2014-01-21 13:06:00,1,China,2014
115,36.2464,-79.7574,2014-01-20 21:20:00,2014-01-21 02:20:00,5,United States - North Carolina,2014
116,23.1552,113.215,2014-01-21 22:00:00,2014-01-21 14:00:00,4,China,2014
117,23.1552,113.215,2014-01-21 22:03:00,2014-01-21 14:03:00,4,China,2014
118,23.1552,113.215,2014-01-21 22:08:00,2014-01-21 14:08:00,4,China,2014
119,34.861,137.815,2014-01-21 23:15:00,2014-01-21 14:15:00,4,Japan,2014
120,42.9938,144.893,2014-01-20 00:00:00,2014-01-19 15:00:00,5,Japan,2014
121,34.2961,-79.881,2014-01-20 21:15:00,2014-01-21 02:15:00,4,United States - South Carolina,2014
122,23.2052,85.9164,2014-01-21 21:30:00,2014-01-21 16:00:00,7,India,2014
123,23.2052,85.9164,2014-01-21 21:49:00,2014-01-21 16:19:00,7,India,2014
124,41.9351,25.5544,2014-01-20 19:00:00,2014-01-20 17:00:00,4,Bulgaria,2014
125,36.1134,119.964,2014-01-22 22:00:00,2014-01-22 14:00:00,5,China,2014
126,41.9344,25.5555,2014-01-21 19:04:00,2014-01-21 17:04:00,2,Bulgaria,2014
127,41.9318,25.5392,2014-01-21 19:21:00,2014-01-21 17:21:00,3,Bulgaria,2014
129,43.6168,7.07536,2014-01-21 19:01:00,2014-01-21 18:01:00,4,France,2014
130,41.9326,25.551,2014-01-21 20:06:00,2014-01-21 18:06:00,3,Bulgaria,2014
131,41.9311,25.5745,2014-01-21 19:50:00,2014-01-21 17:50:00,4,Bulgaria,2014
132,41.9277,25.5445,2014-01-21 20:44:00,2014-01-21 18:44:00,3,Bulgaria,2014
134,54.0896,18.8016,2014-01-21 18:56:00,2014-01-21 17:56:00,3,Poland,2014
135,53.8414,19.4049,2014-01-21 20:00:00,2014-01-21 19:00:00,4,Poland,2014
137,41.937,25.5719,2014-01-21 20:45:00,2014-01-21 18:45:00,4,Bulgaria,2014
138,44.6568,-123.096,2014-01-20 19:25:00,2014-01-21 03:25:00,4,United States - Oregon,2014
139,41.6193,-93.6993,2014-01-20 23:59:00,2014-01-21 05:59:00,3,United States - Iowa,2014
140,60.216,30.3076,2014-01-21 23:15:00,2014-01-21 19:15:00,3,Russia,2014
141,41.4775,2.30473,2014-01-21 20:10:00,2014-01-21 19:10:00,4,Spain,2014
142,46.4251,21.4621,2014-01-20 20:46:00,2014-01-20 18:46:00,1,Romania,2014
145,19.3149,-99.173,2014-01-20 21:00:00,2014-01-21 03:00:00,2,Mexico,2014
146,42.5427,-99.4922,2014-01-20 20:31:00,2014-01-21 02:31:00,3,United States - Nebraska,2014
148,41.9321,25.5393,2014-01-21 22:05:00,2014-01-21 20:05:00,2,Bulgaria,2014
149,19.3258,-99.1757,2014-01-02 00:00:00,2014-01-02 06:00:00,3,Mexico,2014
150,19.326,-99.1757,2014-01-20 21:00:00,2014-01-21 03:00:00,3,Mexico,2014
152,43.6623,4.65159,2014-01-21 21:50:00,2014-01-21 20:50:00,4,France,2014
155,-33.8813,18.6793,2014-01-21 22:30:00,2014-01-21 20:30:00,3,South Africa,2014
156,13.6683,-89.2747,2014-01-20 00:00:00,2014-01-20 06:00:00,3,El Salvador,2014
157,-7.30979,-39.2793,2014-01-21 19:06:00,2014-01-21 22:06:00,4,Brazil,2014
