,Latitude,Longitude,LocalTime,UTTime,LimitingMag,Country,Year
0,28.6378,-17.8833,2020-01-01 00:05:00,2020-01-01 00:05:00,6,Spain,2020
1,28.6607,-17.9069,2020-01-01 00:05:00,2020-01-01 00:05:00,4,Spain,2020
2,28.6167,-17.9028,2020-01-01 00:12:00,2020-01-01 00:12:00,3,Spain,2020
3,28.6546,-17.9186,2020-01-01 01:22:00,2020-01-01 00:22:00,4,Spain,2020
4,28.6546,-17.9186,2020-01-01 22:51:00,2020-01-01 21:51:00,2,Spain,2020
5,28.6603,-17.9069,2020-01-01 23:33:00,2020-01-01 23:33:00,4,Spain,2020
6,28.6378,-17.8833,2020-01-01 23:37:00,2020-01-01 23:37:00,4,Spain,2020
7,28.6549,-17.9185,2020-01-02 01:02:00,2020-01-02 00:02:00,3,Spain,2020
8,44.0792,-121.366,2020-01-01 18:02:00,2020-01-02 02:02:00,3,United States - Oregon,2020
9,44.0792,-121.366,2020-01-01 18:04:00,2020-01-02 02:04:00,4,United States - Oregon,2020
10,-30.0411,-70.6853,2020-01-01 23:07:00,2020-01-02 02:07:00,4,Chile,2020
11,49.2628,-122.781,2020-01-01 17:50:00,2020-01-02 01:50:00,1,Canada,2020
12,39.6828,-76.4212,2020-01-01 21:22:00,2020-01-02 02:22:00,4,United States - Maryland,2020
13,43.9805,-121.369,2020-01-01 18:20:00,2020-01-02 02:20:00,2,United States - Oregon,2020
14,44.0278,-121.322,2020-01-01 21:55:00,2020-01-02 05:55:00,2,United States - Oregon,2020
15,44.0548,-121.327,2020-01-02 05:46:00,2020-01-02 13:46:00,3,United States - Oregon,2020
16,28.6573,-17.9055,2020-01-02 19:59:00,2020-01-02 19:59:00,1,Spain,2020
17,46.3588,16.6205,2020-01-02 22:15:00,2020-01-02 21:15:00,3,Croatia,2020
18,46.3588,16.6205,2020-01-01 22:27:00,2020-01-01 21:27:00,4,Croatia,2020
19,46.336,16.623,2020-01-02 22:28:00,2020-01-02 21:28:00,4,Croatia,2020
20,28.6564,-17.9127,2020-01-02 21:44:00,2020-01-02 21:44:00,3,Spain,2020
21,28.6184,-17.8999,2020-01-02 21:45:00,2020-01-02 21:45:00,3,Spain,2020
22,46.3272,16.5853,2020-01-02 23:13:00,2020-01-02 22:13:00,3,Croatia,2020
23,28.6603,-17.9069,2020-01-02 23:32:00,2020-01-02 23:32:00,5,Spain,2020
24,28.6378,-17.8833,2020-01-02 23:57:00,2020-01-02 23:57:00,3,Spain,2020
25,28.6184,-17.8999,2020-01-03 00:53:00,2020-01-03 00:53:00,3,Spain,2020
26,28.6546,-17.9192,2020-01-03 01:13:00,2020-01-03 00:13:00,5,Spain,2020
27,44.012,-121.358,2020-01-02 18:54:00,2020-01-03 02:54:00,2,United States - Oregon,2020
29,28.6184,-17.8999,2020-01-03 19:52:00,2020-01-03 19:52:00,3,Spain,2020
30,46.8797,-110.363,2020-01-03 19:51:00,2020-01-03 19:51:00,4,Spain,2020
31,28.6184,-17.8999,2020-01-03 20:41:00,2020-01-03 20:41:00,3,Spain,2020
33,28.6184,-17.8999,2020-01-03 22:23:00,2020-01-03 22:23:00,4,Spain,2020
34,28.6184,-17.8999,2020-01-03 22:25:00,2020-01-03 22:25:00,4,Spain,2020
35,28.6184,-17.8999,2020-01-03 22:39:00,2020-01-03 22:39:00,4,Spain,2020
36,28.6122,-17.8778,2020-01-03 22:44:00,2020-01-03 22:44:00,3,Spain,2020
37,28.6598,-17.9097,2020-01-04 00:18:00,2020-01-03 23:18:00,1,Spain,2020
38,28.6603,-17.9071,2020-01-03 23:38:00,2020-01-03 23:38:00,5,Spain,2020
39,28.6378,-17.8833,2020-01-04 00:01:00,2020-01-04 00:01:00,3,Spain,2020
40,28.6592,-17.9271,2020-01-04 01:58:00,2020-01-04 00:58:00,3,Spain,2020
41,28.6184,-17.8999,2020-01-04 02:42:00,2020-01-04 02:42:00,4,Spain,2020
42,44.0149,-121.342,2020-01-03 18:46:00,2020-01-04 02:46:00,1,United States - Oregon,2020
44,28.6572,-17.9052,2020-01-04 20:14:00,2020-01-04 20:14:00,4,Spain,2020
45,28.6122,-17.8778,2020-01-04 21:22:00,2020-01-04 21:22:00,3,Spain,2020
46,28.6378,-17.8833,2020-01-04 23:27:00,2020-01-04 23:27:00,3,Spain,2020
47,28.6603,-17.9068,2020-01-04 23:33:00,2020-01-04 23:33:00,5,Spain,2020
48,28.6599,-17.9097,2020-01-04 23:56:00,2020-01-04 23:56:00,3,Spain,2020
49,28.6546,-17.9186,2020-01-05 00:22:00,2020-01-04 23:22:00,5,Spain,2020
50,28.6184,-17.8999,2020-01-05 01:05:00,2020-01-05 01:05:00,3,Spain,2020
51,-7.58709,112.107,2020-01-05 11:06:00,2020-01-05 04:06:00,4,Indonesia,2020
52,35.7373,139.743,2020-01-01 21:55:00,2020-01-01 12:55:00,3,Japan,2020
53,28.6184,-17.8999,2020-01-05 19:48:00,2020-01-05 19:48:00,2,Spain,2020
54,28.6184,-17.8999,2020-01-05 19:48:00,2020-01-05 19:48:00,2,Spain,2020
55,28.6598,-17.9124,2020-01-05 21:37:00,2020-01-05 21:37:00,3,Spain,2020
56,28.6184,-17.8999,2020-01-05 22:20:00,2020-01-05 22:20:00,2,Spain,2020
57,28.6184,-17.8999,2020-01-05 22:27:00,2020-01-05 22:27:00,2,Spain,2020
58,28.6603,-17.9069,2020-01-05 23:21:00,2020-01-05 23:21:00,4,Spain,2020
59,28.6184,-17.8999,2020-01-06 00:11:00,2020-01-06 00:11:00,3,Spain,2020
60,28.6592,-17.9034,2020-01-06 00:59:00,2020-01-06 00:59:00,3,Spain,2020
61,28.6174,-17.9176,2020-01-06 01:34:00,2020-01-06 01:34:00,4,Spain,2020
62,44.0078,-121.35,2020-01-05 18:32:00,2020-01-06 02:32:00,1,United States - Oregon,2020
63,44.0011,-121.302,2020-01-05 20:55:00,2020-01-06 04:55:00,4,United States - Oregon,2020
64,44.0011,-121.302,2020-01-02 21:17:00,2020-01-03 05:17:00,3,United States - Oregon,2020
66,38.8878,-119.82,2020-01-06 04:20:00,2020-01-06 12:20:00,6,United States - Nevada,2020
67,44.0214,-121.309,2020-01-05 00:00:00,2020-01-05 08:00:00,3,United States - Oregon,2020
68,43.8694,-121.433,2020-01-01 12:10:00,2020-01-01 20:10:00,2,United States - Oregon,2020
69,28.6184,-17.8999,2020-01-06 19:56:00,2020-01-06 19:56:00,2,Spain,2020
70,28.6184,-17.8999,2020-01-06 20:06:00,2020-01-06 20:06:00,2,Spain,2020
71,28.6598,-17.9124,2020-01-06 21:40:00,2020-01-06 21:40:00,4,Spain,2020
72,28.6546,-17.9186,2020-01-06 22:00:00,2020-01-06 21:00:00,2,Spain,2020
73,28.6378,-17.8833,2020-01-06 22:29:00,2020-01-06 22:29:00,2,Spain,2020
